Folder,Name,WINSIZE,PYR_SCALE,POLY_SIGMA,POLY_N,LEVELS,ITERATIONS,FLAGS,Time,Note,Good

Run_50,01-01-07-02-01-01-03,14,0.1,1.7,5,30,5,0,5.559673899999325,skip,0
Run_51,01-01-07-02-01-01-03,10,0.6,1.7,15,5,1,0,4.985222100000101,skip,0
Run_100,01-01-07-02-01-01-03,14,0.1,1.7,5,30,5,0,3.301099100001011,skip,0
Run_101,01-01-07-02-01-01-03,10,0.6,1.7,15,5,1,0,1.8069776000011188,skip,0
Run_100,01-01-07-02-01-01-03,14,0.1,1.7,5,30,5,0,18.85915709999972,,-
Run_101,01-01-07-02-01-01-03,10,0.6,1.7,15,5,1,0,13.208545800000138,,0
Run_102,01-01-07-02-01-01-03,10,0.5,1.7,15,3,5,0,22.450874199999816,,-
Run_103,01-01-07-02-01-01-03,7,0.6,1.5,5,3,5,0,6.719906000000265,skip,0
Run_104,01-01-07-02-01-01-03,8,0.7,1.1,5,3,5,0,3.6877970000005007,skip,0
Run_100,01-01-07-02-01-01-03,14,0.1,1.7,5,30,5,0,4.164820199999667,skip,0
Run_101,01-01-07-02-01-01-03,10,0.6,1.7,15,5,1,0,2.1410780000005616,skip,0
Run_100,01-01-07-02-01-01-03,14,0.1,1.7,5,30,5,0,4.21538259999943,skip,0
Run_100,01-01-07-02-01-01-03,7,0.5,1.1,5,1,1,0,11.064328299995395,skip,0
Run_101,01-01-07-02-01-01-03,8,0.5,1.1,5,1,1,0,2.719250699999975,skip,0
Run_102,01-01-07-02-01-01-03,10,0.5,1.1,5,1,1,0,2.8965944000010495,skip,0
Run_103,01-01-07-02-01-01-03,12,0.5,1.1,5,1,1,0,3.085044300001755,skip,0
Run_104,01-01-07-02-01-01-03,14,0.5,1.1,5,1,1,0,2.207005099997332,skip,0
Run_105,01-01-07-02-01-01-03,15,0.5,1.1,5,1,1,0,2.538540400004422,skip,0
Run_106,01-01-07-02-01-01-03,7,0.5,1.5,5,1,1,0,3.7615690999955405,skip,0
Run_107,01-01-07-02-01-01-03,8,0.5,1.5,5,1,1,0,5.803014099998109,skip,0
Run_108,01-01-07-02-01-01-03,10,0.5,1.5,5,1,1,0,3.3709992000003695,skip,0
Run_109,01-01-07-02-01-01-03,12,0.5,1.5,5,1,1,0,1.6923020999965956,skip,0
Run_100,01-01-07-02-01-01-03,7,0.5,1.1,5,5,5,0,6.461282200005371,skip,0
Run_101,01-01-07-02-01-01-03,8,0.5,1.1,5,5,5,0,4.11613049999869,skip,0
Run_102,01-01-07-02-01-01-03,10,0.5,1.1,5,5,5,0,4.338416400001734,skip,0
Run_103,01-01-07-02-01-01-03,12,0.5,1.1,5,5,5,0,3.9415477000002284,skip,0
Run_104,01-01-07-02-01-01-03,14,0.5,1.1,5,5,5,0,3.225483600006555,skip,0
Run_105,01-01-07-02-01-01-03,15,0.5,1.1,5,5,5,0,2.001987999996345,skip,0
Run_106,01-01-07-02-01-01-03,7,0.5,1.5,5,5,5,0,3.8387332999991486,skip,0
Run_107,01-01-07-02-01-01-03,8,0.5,1.5,5,5,5,0,3.5036196000000928,skip,0
Run_108,01-01-07-02-01-01-03,10,0.5,1.5,5,5,5,0,2.5771136000039405,skip,0
Run_109,01-01-07-02-01-01-03,12,0.5,1.5,5,5,5,0,3.5031715000004624,skip,0
