,precision,recall,f1-score,support
angry,0.4657079646017699,0.32015209125475286,0.37945020279405134,1315.0
calm,0.2819426336375489,0.6469708302169035,0.39273552780930765,1337.0
disgust,0.5693012600229095,0.365710080941869,0.4453405017921147,1359.0
fearful,0.035256410256410256,0.02877070619006103,0.03168506961113778,1147.0
happy,0.4275265957446808,0.5645302897278315,0.48656829360575105,1139.0
sad,0.2272373540856031,0.2111352133044107,0.21889055472263866,1383.0
surprised,0.20093457943925233,0.03894927536231884,0.06525037936267071,1104.0
accuracy,0.3180783242258652,0.3180783242258652,0.3180783242258652,0.3180783242258652
macro avg,0.31541525682688215,0.31088835528544967,0.288560075671096,8784.0
weighted avg,0.3217824019256013,0.3180783242258652,0.2953766252902355,8784.0
