,precision,recall,f1-score,support
angry,0.42042231326820045,0.5331734612310152,0.4701321585903084,2502.0
calm,0.44421115776844633,0.5830708661417323,0.5042560435818862,2540.0
disgust,0.6410105757931844,0.42667188111067655,0.5123268372857478,2557.0
fearful,0.33958566629339304,0.5301573426573427,0.41399317406143343,2288.0
happy,0.6675284384694933,0.5804856115107914,0.620971620971621,2224.0
neutral,0.2824281150159744,0.38704028021015763,0.3265607683782786,1142.0
sad,0.34443541835905767,0.16195569136745608,0.2203169654455703,2618.0
surprised,0.22454484153742413,0.1568535091851154,0.18469217970049917,2123.0
accuracy,0.422863176614427,0.422863176614427,0.422863176614427,0.422863176614427
macro avg,0.4205208158131467,0.4199260804267859,0.4066562185019181,17994.0
weighted avg,0.4324655881773762,0.422863176614427,0.41331453330291773,17994.0
