,precision,recall,f1-score,support
angry,0.6156888595912986,0.3733013589128697,0.46479223687484444,2502.0
calm,0.4111324376199616,0.4216535433070866,0.4163265306122449,2540.0
disgust,0.7913238593866866,0.41376613218615566,0.5434001027221367,2557.0
fearful,0.3232853982300885,0.5109265734265734,0.3960027100271003,2288.0
happy,0.6269602936269603,0.8448741007194245,0.719785481708485,2224.0
neutral,0.19568151147098514,0.12697022767075306,0.15400955921402018,1142.0
sad,0.2738009158833454,0.43391902215431627,0.33574700753657455,2618.0
surprised,0.23546511627906977,0.11446066886481394,0.15404120443740094,2123.0
accuracy,0.4243081027009003,0.4243081027009003,0.4243081027009003,0.4243081027009003
macro avg,0.43416729901104956,0.4049839534052491,0.39801310414160085,17994.0
weighted avg,0.45472675539755586,0.4243081027009003,0.41672806481671154,17994.0
