,precision,recall,f1-score,support
angry,0.5023900573613767,0.8331351565596512,0.6268078127329655,2523.0
calm,0.7151411462788708,0.6777462505066882,0.6959417273673256,2467.0
disgust,0.8154440154440155,0.832807570977918,0.8240343347639485,2536.0
fearful,0.6063675832127352,0.18498896247240618,0.28349120433017594,2265.0
happy,0.8658064516129033,0.5789473684210527,0.6938986556359876,2318.0
sad,0.5226006191950464,0.37378210806023027,0.43583785179447454,2258.0
surprised,0.4458452722063037,0.7441415590626494,0.5576061637699337,2091.0
accuracy,0.6104629967189209,0.6104629967189209,0.6104629967189209,0.6104629967189209
macro avg,0.6390850207587502,0.6036498537229422,0.5882311071992588,16458.0
weighted avg,0.6436022565864686,0.6104629967189209,0.5947695008669801,16458.0
