,precision,recall,f1-score,support
angry,0.38545688545688545,0.4555133079847909,0.41756709654932034,1315.0
calm,0.5883435582822086,0.7172774869109948,0.64644421975059,1337.0
disgust,0.5372866127583109,0.44002943340691686,0.4838187702265373,1359.0
fearful,0.3519134775374376,0.3687881429816914,0.36015325670498083,1147.0
happy,0.5064535955746773,0.723441615452151,0.5958062183658712,1139.0
sad,0.24907063197026022,0.14533622559652928,0.18356164383561646,1383.0
surprised,0.34665099882491185,0.26721014492753625,0.30179028132992325,1104.0
accuracy,0.4438752276867031,0.4438752276867031,0.4438752276867031,0.4438752276867031
macro avg,0.4235965372006703,0.4453709081800872,0.42702021239469135,8784.0
weighted avg,0.4247867075763015,0.4438752276867031,0.42687473300079604,8784.0
