,precision,recall,f1-score,support
angry,0.44660846205507054,0.5315747402078337,0.48540145985401456,2502.0
calm,0.5913682277318641,0.5070866141732283,0.5459940652818991,2540.0
disgust,0.8191666666666667,0.3844348846304263,0.5232898589299974,2557.0
fearful,0.36872542216053666,0.6966783216783217,0.4822265920435637,2288.0
happy,0.6993464052287581,0.529226618705036,0.6025083184028667,2224.0
sad,0.3256445047489824,0.45836516424751717,0.3807710613993337,2618.0
surprised,0.19751552795031055,0.07489401789919925,0.10860655737704918,2123.0
accuracy,0.458758604319962,0.458758604319962,0.458758604319962,0.458758604319962
macro avg,0.4926250309345984,0.45460862307736605,0.4469711304698178,16852.0
weighted avg,0.49756419342337993,0.458758604319962,0.4515840760997716,16852.0
