,precision,recall,f1-score,support
angry,0.2009685230024213,0.680327868852459,0.3102803738317757,122.0
calm,0.1885245901639344,0.18110236220472442,0.18473895582329317,127.0
disgust,0.44036697247706424,0.3116883116883117,0.3650190114068441,154.0
fearful,0.1643835616438356,0.10714285714285714,0.12972972972972974,112.0
happy,0.4528301886792453,0.631578947368421,0.5274725274725274,114.0
neutral,0.0,0.0,0.0,55.0
sad,0.0,0.0,0.0,119.0
surprised,0.08695652173913043,0.020833333333333332,0.03361344537815126,96.0
accuracy,0.26696329254727474,0.26696329254727474,0.26696329254727474,0.26696329254727474
macro avg,0.19175379471320392,0.24158421007376335,0.1938567554552902,899.0
weighted avg,0.21652805675092662,0.26696329254727474,0.2173720460195654,899.0
