,precision,recall,f1-score,support
angry,0.6591500433651344,0.5779467680608364,0.6158833063209076,1315.0
calm,0.6997690531177829,0.4532535527299925,0.5501588742623694,1337.0
disgust,0.7095959595959596,0.6203090507726269,0.6619552414605417,1359.0
fearful,0.376953125,0.5047951176983435,0.4316064107342527,1147.0
happy,0.6865552903739062,0.7576821773485514,0.7203672787979968,1139.0
sad,0.34502923976608185,0.5972523499638467,0.4373841673285676,1383.0
surprised,0.3230769230769231,0.11413043478260869,0.1686746987951807,1104.0
accuracy,0.5240209471766849,0.5240209471766849,0.5240209471766849,0.5240209471766849
macro avg,0.5428756620422555,0.5179099216224009,0.5122899968142595,8784.0
weighted avg,0.5481464608286464,0.5240209471766849,0.5181826264109805,8784.0
