,precision,recall,f1-score,support
angry,0.0,0.0,0.0,620.0
calm,0.33106060606060606,0.71875,0.4533195020746888,608.0
disgust,0.7772277227722773,0.23932926829268292,0.36596736596736595,656.0
fearful,0.47619047619047616,0.03690036900369004,0.06849315068493149,542.0
happy,0.6240409207161125,0.4214162348877375,0.5030927835051545,579.0
neutral,0.2532467532467532,0.5397923875432526,0.3447513812154696,289.0
sad,0.5208333333333334,0.03881987577639751,0.0722543352601156,644.0
surprised,0.16505894962486603,0.55,0.25391591096455074,560.0
accuracy,0.29946642952423297,0.29946642952423297,0.29946642952423297,0.29946642952423297
macro avg,0.39345734524305304,0.3181260169379701,0.25772430370903454,4498.0
weighted avg,0.40720301377461826,0.29946642952423297,0.2517707225157078,4498.0
