,precision,recall,f1-score,support
angry,0.40878186968838526,0.5767386091127098,0.47844827586206895,2502.0
calm,0.40702781844802344,0.4377952755905512,0.4218512898330805,2540.0
disgust,0.6932270916334662,0.6124364489636293,0.6503322259136213,2557.0
fearful,0.4693087008343266,0.6883741258741258,0.5581148121899362,2288.0
happy,0.8264462809917356,0.13489208633093525,0.23192887514495555,2224.0
neutral,0.32458619297537344,0.7040280210157618,0.44432163581099754,1142.0
sad,0.5878428465530022,0.3029029793735676,0.39979833627426264,2618.0
surprised,0.10269709543568464,0.09326424870466321,0.09775364107627746,2123.0
accuracy,0.4329776592197399,0.4329776592197399,0.4329776592197399,0.4329776592197399
macro avg,0.47748973706999964,0.443803974370743,0.41031863651315004,17994.0
weighted avg,0.49286847531528544,0.4329776592197399,0.41602057380927654,17994.0
