,precision,recall,f1-score,support
angry,0.44234404536862004,0.4676258992805755,0.4546337672430542,2502.0
calm,0.5481617647058824,0.587007874015748,0.5669201520912547,2540.0
disgust,0.7963604852686309,0.35940555338287056,0.49528428994880086,2557.0
fearful,0.3369293007127721,0.7644230769230769,0.4677095868431609,2288.0
happy,0.5583472920156337,0.44964028776978415,0.49813200498132004,2224.0
neutral,0.3521341463414634,0.6068301225919439,0.4456591639871383,1142.0
sad,0.4069168506254599,0.21122994652406418,0.27809906965049036,2618.0
surprised,0.35506003430531735,0.19500706547338673,0.2517482517482518,2123.0
accuracy,0.44398132710903637,0.44398132710903637,0.44398132710903637,0.44398132710903637
macro avg,0.4745317399179725,0.4551462282451813,0.4322732858116839,17994.0
weighted avg,0.48734389380128396,0.44398132710903637,0.4331080128491961,17994.0
