4Layer_ConvNet_FER;2;9.98;10.02;1.8877774477005005;0.3105468675494194;1.8327646255493164;0.3270312398672104;1.6361908912658691;0.39625000953674316;81.79943370819092;
Simple_MNIST;5;0.31;0.31;[2.022278070449829, 1.7168651819229126, 1.3754132986068726, 1.0849663019180298, 0.8438008427619934];[0.18424999713897705, 0.3582499921321869, 0.48774999380111694, 0.6179999709129333, 0.7097499966621399];[1.9012688398361206, 1.542514443397522, 1.2543730735778809, 1.1022454500198364, 0.8301520347595215];[0.28200000524520874, 0.4339999854564667, 0.5479999780654907, 0.6100000143051147, 0.6940000057220459];0.8981130123138428;0.6880000233650208;11.897675514221191;
Simple_MNIST;10;0.31;0.31;[1.9903514385223389, 1.6848258972167969, 1.3958529233932495, 1.1199367046356201, 0.8739628791809082, 0.6952503323554993, 0.5374423265457153, 0.4367894232273102, 0.3959451913833618, 0.33209937810897827];[0.2084999978542328, 0.36274999380111694, 0.4819999933242798, 0.5910000205039978, 0.6922500133514404, 0.7637500166893005, 0.8184999823570251, 0.8507500290870667, 0.862500011920929, 0.8842499852180481];[1.8908933401107788, 1.5320751667022705, 1.2714357376098633, 1.0443716049194336, 0.8182508945465088, 0.7183875441551208, 0.6389498114585876, 0.6708439588546753, 0.6817812323570251, 0.60652095079422];[0.3160000145435333, 0.4259999990463257, 0.5339999794960022, 0.6380000114440918, 0.7239999771118164, 0.7720000147819519, 0.7879999876022339, 0.7699999809265137, 0.7760000228881836, 0.7979999780654907];0.6121854186058044;0.7960000038146973;20.595680594444275;
Simple_MNIST\Run_4;50;0.63;0.63;[1.8230232000350952, 1.2027535438537598, 0.773424506187439, 0.5582223534584045, 0.41692492365837097, 0.33115142583847046, 0.26922526955604553, 0.22608409821987152, 0.17011047899723053, 0.13855253159999847, 0.10999107360839844, 0.10295288264751434, 0.08434683084487915, 0.07943922281265259, 0.07963798195123672, 0.0671396404504776];[0.2943750023841858, 0.5668749809265137, 0.734250009059906, 0.8026250004768372, 0.8568750023841858, 0.8870000243186951, 0.9082499742507935, 0.924875020980835, 0.9430000185966492, 0.9514999985694885, 0.9638749957084656, 0.965749979019165, 0.9725000262260437, 0.9733750224113464, 0.9725000262260437, 0.9775000214576721];[1.4782776832580566, 1.0455455780029297, 0.7834533452987671, 0.6025820374488831, 0.5510097742080688, 0.651185154914856, 0.5268962979316711, 0.4781437814235687, 0.4579170048236847, 0.5032832622528076, 0.3964368999004364, 0.4321782886981964, 0.44678938388824463, 0.46684280037879944, 0.4753477871417999, 0.5276889204978943];[0.4309999942779541, 0.6380000114440918, 0.7390000224113464, 0.7979999780654907, 0.8199999928474426, 0.7919999957084656, 0.8299999833106995, 0.847000002861023, 0.8730000257492065, 0.8659999966621399, 0.8830000162124634, 0.8759999871253967, 0.8669999837875366, 0.875, 0.8809999823570251, 0.878000020980835];0.6596077084541321;0.8709999918937683;30.448659300804138;
Simple_MNIST\Run_5;5;0.63;0.63;[1.8915326595306396, 1.318195104598999, 0.9132204055786133, 0.665751039981842, 0.514494776725769];[0.2607499957084656, 0.5142499804496765, 0.6822500228881836, 0.7663750052452087, 0.8186249732971191];[1.592171311378479, 1.1296888589859009, 0.9220370054244995, 0.6959850192070007, 0.6751917600631714];[0.3889999985694885, 0.5870000123977661, 0.6700000166893005, 0.7459999918937683, 0.7559999823570251];0.6714048981666565;0.7730000019073486;50.95730676651001;
Simple_MNIST\Run_6;100;6.54;6.54;[0.6764334440231323, 0.1671641767024994, 0.09340400248765945, 0.06210806965827942, 0.045413728803396225, 0.039735276252031326, 0.03439865633845329, 0.027438899502158165, 0.026344910264015198, 0.0231564212590456, 0.020810725167393684, 0.019901083782315254, 0.01615886203944683, 0.015610439702868462, 0.014596124179661274, 0.016762282699346542, 0.01280850637704134, 0.012105721980333328, 0.01236606016755104, 0.011122697964310646, 0.011655366979539394];[0.758224368095398, 0.9439836740493774, 0.969070315361023, 0.9788610935211182, 0.9848248958587646, 0.9866478443145752, 0.9884345531463623, 0.9909697771072388, 0.9909093976020813, 0.9920804500579834, 0.9932635426521301, 0.9939999580383301, 0.9946519136428833, 0.9945191144943237, 0.9956297874450684, 0.99473637342453, 0.9960643649101257, 0.9962213039398193, 0.9961971640586853, 0.9963178634643555, 0.9961488842964172];[0.25945955514907837, 0.14868031442165375, 0.11173206567764282, 0.07140519469976425, 0.05471096187829971, 0.05667949095368385, 0.06283370405435562, 0.0435824915766716, 0.03983909636735916, 0.041902683675289154, 0.04459812864661217, 0.03638496994972229, 0.04305200278759003, 0.02654433622956276, 0.03421410918235779, 0.020330704748630524, 0.021691318601369858, 0.021512722596526146, 0.040579408407211304, 0.024236034601926804, 0.033590346574783325];[0.9150086641311646, 0.9493915438652039, 0.9616573452949524, 0.9766274094581604, 0.9830983281135559, 0.9809735417366028, 0.9778829216957092, 0.9876376390457153, 0.9874444603919983, 0.9881205558776855, 0.9869615435600281, 0.9887000322341919, 0.9865752458572388, 0.992659866809845, 0.9912111163139343, 0.9936256408691406, 0.9944948554039001, 0.9938188195228577, 0.9907281994819641, 0.9935290813446045, 0.9911145567893982];0.02371419593691826;0.9924674034118652;330.5577228864034;
baseline_model\Run_1;100;11.14;11.36;[0.6282379031181335, 0.12117067724466324, 0.0648886188864708, 0.044334255158901215, 0.03496086224913597, 0.028874175623059273];[0.7777663469314575, 0.9594144821166992, 0.9781904220581055, 0.9849792122840881, 0.9880275726318359, 0.9901628494262695];[4.572620391845703, 5.867860317230225, 6.294677257537842, 7.072926044464111, 7.100371360778809, 8.0606050491333];[0.3977440297603607, 0.39938783645629883, 0.41775310039520264, 0.4125949442386627, 0.43096020817756653, 0.3982541561126709];3.6114912033081055;0.3850172162055969;369.8868196407954;
baseline_model\Run_2;100;11.11;11.04;[0.7045448422431946, 0.16497555375099182, 0.08932860195636749, 0.06174052879214287, 0.047407351434230804, 0.038851190358400345];[0.747378408908844, 0.9433912634849548, 0.9693004488945007, 0.9784138798713684, 0.9841390252113342, 0.9871622323989868];[3.5399444103240967, 4.655971050262451, 5.225291728973389, 6.974019527435303, 6.4811859130859375, 7.811053276062012];[0.3762218654155731, 0.3731530010700226, 0.39849966764450073, 0.3676403760910034, 0.3774721622467041, 0.35780858993530273];2.5941267013549805;0.4422064423561096;481.2334991296132;
baseline_model\Run_3;6;11.36;11.04;[0.5815641283988953, 0.11364301294088364, 0.05992503836750984, 0.04149307683110237, 0.03268389031291008, 0.028920037671923637];[0.7931602001190186, 0.9619961380958557, 0.9804031252861023, 0.9862204790115356, 0.9890410304069519, 0.9899811744689941];[2.575798273086548, 3.780926465988159, 4.40880012512207, 4.65939474105835, 5.362255573272705, 5.19573974609375];[0.4280315637588501, 0.4168611764907837, 0.39257529377937317, 0.41358229517936707, 0.4318106174468994, 0.41102591156959534];1.7406766414642334;0.5549324750900269;404.8912059863408;
baseline_model\Run_4;6;11.14;11.36;[0.3996344208717346, 0.054254353046417236, 0.03300168365240097, 0.02479294314980507, 0.017023658379912376, 0.01648660935461521];[0.8592613339424133, 0.981724739074707, 0.9889111518859863, 0.9923717975616455, 0.9945218563079834, 0.9950667023658752];[5.120633125305176, 6.022971153259277, 5.847347259521484, 6.061420440673828, 7.484521865844727, 8.559832572937012];[0.3854438364505768, 0.37660127878189087, 0.388448029756546, 0.3650379776954651, 0.3902052044868469, 0.3652080297470093];4.034865856170654;0.3811270296573639;1162.455368121465;
baseline_model\Run_5;2;10.49;10.64;[0.5118716955184937, 0.11424631625413895];[0.8148955702781677, 0.9605262875556946];[3.7928380966186523, 5.216236591339111];[0.45096975564956665, 0.42488858103752136];4.06636905670166;0.3873724043369293;664.0811403989792;
